Coorte,Anno,Regione,Poliomielite,Difterite,Tetano,Pertosse,Epatite B,HIB,Morbillo,Parotite,Rosolia,Varicella,Meningococco C coniugato,Pneumococco Coniugato
2011,2013,Piemonte,"96,68","96,79","96,79","96,62","96,49","96,23","92,07","92,07","92,07","1,11","88,58","92,68"
2011,2013,Valle D'Aosta,"93,69","93,69","94,43","93,2","93,12","92,87","83,95","83,54","83,7","0,41","83,29","89,68"
2011,2013,Lombardia,"95,95","95,95","95,95","95,82","95,8","95,22","92,62","92,56","92,56",0,"69,1","83,7"
2011,2013,Alto Adige,"88,76","88,78","88,88","88,75","88,28","88,2","68,94","68,87","68,89","2,84","60,84","78,78"
2011,2013,Trentino,"94,46","94,44","94,78","94,25","94,08","93,61","86,25","86,2","86,2","1,22","82,75","87,64"
2011,2013,Veneto,"93,73","93,78","93,98","93,73","93,52","93,29","89,99","89,84","89,89","86,81","92,32","88,43"
2011,2013,Friuli Venezia Giulia,"94,35","94,58","94,58","94,24","93,82","93,65","87,8","87,8","87,8","13,69","82,04","86,53"
2011,2013,Liguria,"95,83","95,88","95,91","95,86","95,86","95,59","85,97","85,86","85,88","12,62","85,55","93,66"
2011,2013,Emilia Romagna,"96,1",96,"96,19","95,78","95,78","95,31","91,3","91,13","91,13","0,47","91,21","94,1"
2011,2013,Toscana,"95,83","95,88","96,02","95,87","95,75","95,65","90,07","90,04","90,04","77,56","90,2","94,01"
2011,2013,Umbria,"97,1","96,76","96,84","96,7","96,62","96,61","93,06","92,98","93,01","n,i,","89,54","94,86"
2011,2013,Marche,"97,02","97,02","97,04","96,98","96,93","96,94","87,75","87,75","87,75","0,42","84,94","93,39"
2011,2013,Lazio,"96,74","96,61","96,61","96,6","96,92","96,43","90,89","90,86","90,86","6,29","69,2","89,23"
2011,2013,Abruzzo,"97,75","97,75","97,75","97,75","97,75","97,75","91,26","91,26","91,26",5,"54,13","56,09"
2011,2013,Molise,"98,06","98,06","98,06","98,06","98,06","98,06","87,62","87,62","87,62","14,79","71,93","95,95"
2011,2013,Puglia,"95,65","95,66","95,66","95,66","95,66","95,62","90,64","90,64","90,64","88,04","81,1","92,93"
2011,2013,Basilicata,"99,03","99,03","99,03","99,03","99,03","99,03","91,34","91,34","91,34","n,i,","86,83","98,73"
2011,2013,Calabria,"94,25","94,25","94,25","94,25","94,25","80,84","87,6","87,6","87,6","62,6","67,53","44,54"
2011,2013,Sicilia,"95,3","95,3","95,3","95,3","95,29","95,28","88,98","88,98","88,98","85,01","61,42","92,9"
2011,2013,Sardegna,"96,19","96,81","96,81","96,81","96,82","96,81","91,12","91,12","91,12","36,2","58,45","64,76"
2011,2013,Italia,"95,74","95,75","95,81","95,68","95,65","94,91","90,35","90,3","90,3","33,19","77,05","86,94"
